pair_id,contract_name,contract_family,proxy_type,v1_path,v2_path,expected_verdict,safety_category,mutation_operator,changed_function,changed_variable,affected_slot,expected_behavior_difference,compiler_version,LOC,number_of_functions,number_of_storage_variables,number_of_branches,external_call_count
tokenrewards_safe_02_equivalent_expression_refactor,TokenRewards,token,uups,dataset/originals/token/TokenRewards.sol,dataset/pairs/safe/tokenrewards_safe_02_equivalent_expression_refactor/V2.sol,Safe,safe,equivalent_expression_refactor,awardTokens,total,,algebraically identical checked addition,0.8.30,62,7,7,6,1
tokenrewards_safe_03_extract_internal_function,TokenRewards,token,uups,dataset/originals/token/TokenRewards.sol,dataset/pairs/safe/tokenrewards_safe_03_extract_internal_function/V2.sol,Safe,safe,extract_internal_function,awardTokens,total,,semantics-preserving extraction,0.8.30,62,7,7,6,1
tokenrewards_unsafe_storage_01_change_packed_width,TokenRewards,token,uups,dataset/originals/token/TokenRewards.sol,dataset/pairs/unsafe_storage/tokenrewards_unsafe_storage_01_change_packed_width/V2.sol,Unsafe,storage,change_packed_width,,"inheritedEpoch,guardian","0;1;2;3;4;[5,9)",inherited packed offset changes,0.8.30,62,7,7,6,1
tokenrewards_unsafe_storage_02_change_inheritance_order,TokenRewards,token,uups,dataset/originals/token/TokenRewards.sol,dataset/pairs/unsafe_storage/tokenrewards_unsafe_storage_02_change_inheritance_order/V2.sol,Unsafe,storage,change_inheritance_order,,"inheritedEpoch,guardian",0,base linearization changes,0.8.30,62,7,7,6,1
tokenrewards_unsafe_storage_03_move_mapping_root,TokenRewards,token,uups,dataset/originals/token/TokenRewards.sol,dataset/pairs/unsafe_storage/tokenrewards_unsafe_storage_03_move_mapping_root/V2.sol,Unsafe,storage,move_mapping_root,,mapping,3;4,mapping root slot moves,0.8.30,62,7,7,6,1
tokenrewards_unsafe_behavior_01_wrong_state_variable,TokenRewards,token,uups,dataset/originals/token/TokenRewards.sol,dataset/pairs/unsafe_behavior/tokenrewards_unsafe_behavior_01_wrong_state_variable/V2.sol,Unsafe,behavior,wrong_state_variable,awardTokens,"total,limit",,wrong state cell is updated,0.8.30,62,7,7,6,1
tokenrewards_unsafe_behavior_02_return_value_change,TokenRewards,token,uups,dataset/originals/token/TokenRewards.sol,dataset/pairs/unsafe_behavior/tokenrewards_unsafe_behavior_02_return_value_change/V2.sol,Unsafe,behavior,return_value_change,awardTokens,,,return data differs,0.8.30,62,7,7,6,1
tokenrewards_unsafe_behavior_03_omit_event,TokenRewards,token,uups,dataset/originals/token/TokenRewards.sol,dataset/pairs/unsafe_behavior/tokenrewards_unsafe_behavior_03_omit_event/V2.sol,Unsafe,behavior,omit_event,awardTokens,,,event trace differs,0.8.30,62,7,7,6,1
vaultguard_safe_01_valid_domain_guard,VaultGuard,vault,transparent,dataset/originals/vault/VaultGuard.sol,dataset/pairs/safe/vaultguard_safe_01_valid_domain_guard/V2.sol,Safe,safe,valid_domain_guard,depositValue,,,preserved domain declares amount > 0,0.8.30,66,8,7,6,1
vaultguard_safe_02_append_state_variable,VaultGuard,vault,transparent,dataset/originals/vault/VaultGuard.sol,dataset/pairs/safe/vaultguard_safe_02_append_state_variable/V2.sol,Safe,safe,append_state_variable,,releaseTag,,new terminal slot,0.8.30,66,8,7,6,1
vaultguard_safe_03_add_function,VaultGuard,vault,transparent,dataset/originals/vault/VaultGuard.sol,dataset/pairs/safe/vaultguard_safe_03_add_function/V2.sol,Safe,safe,add_function,implementationVersion,,,new selector only,0.8.30,66,8,7,6,1
vaultguard_unsafe_storage_01_move_dynamic_array_root,VaultGuard,vault,transparent,dataset/originals/vault/VaultGuard.sol,dataset/pairs/unsafe_storage/vaultguard_unsafe_storage_01_move_dynamic_array_root/V2.sol,Unsafe,storage,move_dynamic_array_root,,history,3;4;5,dynamic-array root slot moves,0.8.30,66,8,7,6,1
vaultguard_unsafe_storage_02_inline_assembly_legacy_slot_write,VaultGuard,vault,transparent,dataset/originals/vault/VaultGuard.sol,dataset/pairs/unsafe_storage/vaultguard_unsafe_storage_02_inline_assembly_legacy_slot_write/V2.sol,Unsafe,storage,inline_assembly_legacy_slot_write,overwriteLegacySlot,owner,2,direct write to compiler-managed slot,0.8.30,66,8,7,6,1
vaultguard_unsafe_storage_03_namespace_collision,VaultGuard,vault,transparent,dataset/originals/vault/VaultGuard.sol,dataset/pairs/unsafe_storage/vaultguard_unsafe_storage_03_namespace_collision/V2.sol,Unsafe,storage,namespace_collision,writeNamespace,"inheritedEpoch,guardian",0,unstructured namespace collides with slot zero,0.8.30,66,8,7,6,1
vaultguard_unsafe_behavior_01_remove_require,VaultGuard,vault,transparent,dataset/originals/vault/VaultGuard.sol,dataset/pairs/unsafe_behavior/vaultguard_unsafe_behavior_01_remove_require/V2.sol,Unsafe,behavior,remove_require,depositValue,,,inactive call becomes successful,0.8.30,66,8,7,6,1
vaultguard_unsafe_behavior_02_change_revert_condition,VaultGuard,vault,transparent,dataset/originals/vault/VaultGuard.sol,dataset/pairs/unsafe_behavior/vaultguard_unsafe_behavior_02_change_revert_condition/V2.sol,Unsafe,behavior,change_revert_condition,depositValue,,,accepted input set changes,0.8.30,66,8,7,6,1
vaultguard_unsafe_behavior_03_remove_access_modifier,VaultGuard,vault,transparent,dataset/originals/vault/VaultGuard.sol,dataset/pairs/unsafe_behavior/vaultguard_unsafe_behavior_03_remove_access_modifier/V2.sol,Unsafe,behavior,remove_access_modifier,withdraw,,,unauthorized caller becomes accepted,0.8.30,66,8,7,6,1
yieldvault_safe_01_add_function,YieldVault,vault,uups,dataset/originals/vault/YieldVault.sol,dataset/pairs/safe/yieldvault_safe_01_add_function/V2.sol,Safe,safe,add_function,implementationVersion,,,new selector only,0.8.30,62,7,7,6,1
yieldvault_safe_02_add_event,YieldVault,vault,uups,dataset/originals/vault/YieldVault.sol,dataset/pairs/safe/yieldvault_safe_02_add_event/V2.sol,Safe,safe,add_event,,,,new event declaration only,0.8.30,62,7,7,6,1
yieldvault_safe_03_rename_local_variable,YieldVault,vault,uups,dataset/originals/vault/YieldVault.sol,dataset/pairs/safe/yieldvault_safe_03_rename_local_variable/V2.sol,Safe,safe,rename_local_variable,addYield,,,alpha-renaming,0.8.30,62,7,7,6,1
yieldvault_unsafe_storage_01_reorder_state_variables,YieldVault,vault,uups,dataset/originals/vault/YieldVault.sol,dataset/pairs/unsafe_storage/yieldvault_unsafe_storage_01_reorder_state_variables/V2.sol,Unsafe,storage,reorder_state_variables,,"owner,total",1;2,slot/type interpretation changes,0.8.30,62,7,7,6,1
yieldvault_unsafe_storage_02_insert_state_variable,YieldVault,vault,uups,dataset/originals/vault/YieldVault.sol,dataset/pairs/unsafe_storage/yieldvault_unsafe_storage_02_insert_state_variable/V2.sol,Unsafe,storage,insert_state_variable,,total,"2;3;4;[5,9)",all following roots shift,0.8.30,62,7,7,6,1
yieldvault_unsafe_storage_03_change_storage_type,YieldVault,vault,uups,dataset/originals/vault/YieldVault.sol,dataset/pairs/unsafe_storage/yieldvault_unsafe_storage_03_change_storage_type/V2.sol,Unsafe,storage,change_storage_type,,inheritedEpoch,0,semantic type changes at equal width,0.8.30,62,7,7,6,1
yieldvault_unsafe_behavior_01_change_call_recipient,YieldVault,vault,uups,dataset/originals/vault/YieldVault.sol,dataset/pairs/unsafe_behavior/yieldvault_unsafe_behavior_01_change_call_recipient/V2.sol,Unsafe,behavior,change_call_recipient,withdraw,,,external call target differs,0.8.30,62,7,7,6,1
yieldvault_unsafe_behavior_02_external_call_order_change,YieldVault,vault,uups,dataset/originals/vault/YieldVault.sol,dataset/pairs/unsafe_behavior/yieldvault_unsafe_behavior_02_external_call_order_change/V2.sol,Unsafe,behavior,external_call_order_change,withdraw,total,,external interaction precedes effects,0.8.30,62,7,7,6,1
yieldvault_unsafe_behavior_03_success_to_revert,YieldVault,vault,uups,dataset/originals/vault/YieldVault.sol,dataset/pairs/unsafe_behavior/yieldvault_unsafe_behavior_03_success_to_revert/V2.sol,Unsafe,behavior,success_to_revert,addYield,,,all formerly valid calls revert,0.8.30,62,7,7,6,1
stakepool_safe_01_extract_internal_function,StakePool,staking,transparent,dataset/originals/staking/StakePool.sol,dataset/pairs/safe/stakepool_safe_01_extract_internal_function/V2.sol,Safe,safe,extract_internal_function,stakeUnits,total,,semantics-preserving extraction,0.8.30,66,8,7,6,1
stakepool_safe_02_valid_domain_guard,StakePool,staking,transparent,dataset/originals/staking/StakePool.sol,dataset/pairs/safe/stakepool_safe_02_valid_domain_guard/V2.sol,Safe,safe,valid_domain_guard,stakeUnits,,,preserved domain declares amount > 0,0.8.30,66,8,7,6,1
stakepool_safe_03_append_state_variable,StakePool,staking,transparent,dataset/originals/staking/StakePool.sol,dataset/pairs/safe/stakepool_safe_03_append_state_variable/V2.sol,Safe,safe,append_state_variable,,releaseTag,,new terminal slot,0.8.30,66,8,7,6,1
stakepool_unsafe_storage_01_change_packed_width,StakePool,staking,transparent,dataset/originals/staking/StakePool.sol,dataset/pairs/unsafe_storage/stakepool_unsafe_storage_01_change_packed_width/V2.sol,Unsafe,storage,change_packed_width,,"inheritedEpoch,guardian",0;1;2;3;4;5,inherited packed offset changes,0.8.30,66,8,7,6,1
stakepool_unsafe_storage_02_change_inheritance_order,StakePool,staking,transparent,dataset/originals/staking/StakePool.sol,dataset/pairs/unsafe_storage/stakepool_unsafe_storage_02_change_inheritance_order/V2.sol,Unsafe,storage,change_inheritance_order,,"inheritedEpoch,guardian",0,base linearization changes,0.8.30,66,8,7,6,1
stakepool_unsafe_storage_03_move_mapping_root,StakePool,staking,transparent,dataset/originals/staking/StakePool.sol,dataset/pairs/unsafe_storage/stakepool_unsafe_storage_03_move_mapping_root/V2.sol,Unsafe,storage,move_mapping_root,,mapping,3;4,mapping root slot moves,0.8.30,66,8,7,6,1
stakepool_unsafe_behavior_01_arithmetic_operator_change,StakePool,staking,transparent,dataset/originals/staking/StakePool.sol,dataset/pairs/unsafe_behavior/stakepool_unsafe_behavior_01_arithmetic_operator_change/V2.sol,Unsafe,behavior,arithmetic_operator_change,stakeUnits,total,,post-state and return differ,0.8.30,66,8,7,6,1
stakepool_unsafe_behavior_02_comparison_operator_change,StakePool,staking,transparent,dataset/originals/staking/StakePool.sol,dataset/pairs/unsafe_behavior/stakepool_unsafe_behavior_02_comparison_operator_change/V2.sol,Unsafe,behavior,comparison_operator_change,stakeUnits,,,status differs at amount = limit,0.8.30,66,8,7,6,1
stakepool_unsafe_behavior_03_omit_state_update,StakePool,staking,transparent,dataset/originals/staking/StakePool.sol,dataset/pairs/unsafe_behavior/stakepool_unsafe_behavior_03_omit_state_update/V2.sol,Unsafe,behavior,omit_state_update,stakeUnits,total,,total is not updated,0.8.30,66,8,7,6,1
delegatedstake_safe_01_consume_storage_gap,DelegatedStake,staking,uups,dataset/originals/staking/DelegatedStake.sol,dataset/pairs/safe/delegatedstake_safe_01_consume_storage_gap/V2.sol,Safe,safe,consume_storage_gap,,releaseCounter,,one reserved gap slot consumed,0.8.30,62,7,7,6,1
delegatedstake_safe_02_append_state_variable,DelegatedStake,staking,uups,dataset/originals/staking/DelegatedStake.sol,dataset/pairs/safe/delegatedstake_safe_02_append_state_variable/V2.sol,Safe,safe,append_state_variable,,releaseTag,,new terminal slot,0.8.30,62,7,7,6,1
delegatedstake_safe_03_add_function,DelegatedStake,staking,uups,dataset/originals/staking/DelegatedStake.sol,dataset/pairs/safe/delegatedstake_safe_03_add_function/V2.sol,Safe,safe,add_function,implementationVersion,,,new selector only,0.8.30,62,7,7,6,1
delegatedstake_unsafe_storage_01_expand_storage_gap,DelegatedStake,staking,uups,dataset/originals/staking/DelegatedStake.sol,dataset/pairs/unsafe_storage/delegatedstake_unsafe_storage_01_expand_storage_gap/V2.sol,Unsafe,storage,expand_storage_gap,,__gap,"[5,9)",reserved range expands over future slot,0.8.30,62,7,7,6,1
delegatedstake_unsafe_storage_02_inline_assembly_legacy_slot_write,DelegatedStake,staking,uups,dataset/originals/staking/DelegatedStake.sol,dataset/pairs/unsafe_storage/delegatedstake_unsafe_storage_02_inline_assembly_legacy_slot_write/V2.sol,Unsafe,storage,inline_assembly_legacy_slot_write,overwriteLegacySlot,owner,2,direct write to compiler-managed slot,0.8.30,62,7,7,6,1
delegatedstake_unsafe_storage_03_namespace_collision,DelegatedStake,staking,uups,dataset/originals/staking/DelegatedStake.sol,dataset/pairs/unsafe_storage/delegatedstake_unsafe_storage_03_namespace_collision/V2.sol,Unsafe,storage,namespace_collision,writeNamespace,"inheritedEpoch,guardian",0,unstructured namespace collides with slot zero,0.8.30,62,7,7,6,1
delegatedstake_unsafe_behavior_01_wrong_state_variable,DelegatedStake,staking,uups,dataset/originals/staking/DelegatedStake.sol,dataset/pairs/unsafe_behavior/delegatedstake_unsafe_behavior_01_wrong_state_variable/V2.sol,Unsafe,behavior,wrong_state_variable,delegateUnits,"total,limit",,wrong state cell is updated,0.8.30,62,7,7,6,1
delegatedstake_unsafe_behavior_02_return_value_change,DelegatedStake,staking,uups,dataset/originals/staking/DelegatedStake.sol,dataset/pairs/unsafe_behavior/delegatedstake_unsafe_behavior_02_return_value_change/V2.sol,Unsafe,behavior,return_value_change,delegateUnits,,,return data differs,0.8.30,62,7,7,6,1
delegatedstake_unsafe_behavior_03_omit_event,DelegatedStake,staking,uups,dataset/originals/staking/DelegatedStake.sol,dataset/pairs/unsafe_behavior/delegatedstake_unsafe_behavior_03_omit_event/V2.sol,Unsafe,behavior,omit_event,delegateUnits,,,event trace differs,0.8.30,62,7,7,6,1
ballotbox_safe_01_equivalent_expression_refactor,BallotBox,voting,transparent,dataset/originals/voting/BallotBox.sol,dataset/pairs/safe/ballotbox_safe_01_equivalent_expression_refactor/V2.sol,Safe,safe,equivalent_expression_refactor,castWeight,total,,algebraically identical checked addition,0.8.30,66,8,7,6,1
ballotbox_safe_02_extract_internal_function,BallotBox,voting,transparent,dataset/originals/voting/BallotBox.sol,dataset/pairs/safe/ballotbox_safe_02_extract_internal_function/V2.sol,Safe,safe,extract_internal_function,castWeight,total,,semantics-preserving extraction,0.8.30,66,8,7,6,1
ballotbox_safe_03_valid_domain_guard,BallotBox,voting,transparent,dataset/originals/voting/BallotBox.sol,dataset/pairs/safe/ballotbox_safe_03_valid_domain_guard/V2.sol,Safe,safe,valid_domain_guard,castWeight,,,preserved domain declares amount > 0,0.8.30,66,8,7,6,1
ballotbox_unsafe_storage_01_reorder_state_variables,BallotBox,voting,transparent,dataset/originals/voting/BallotBox.sol,dataset/pairs/unsafe_storage/ballotbox_unsafe_storage_01_reorder_state_variables/V2.sol,Unsafe,storage,reorder_state_variables,,"owner,total",1;2,slot/type interpretation changes,0.8.30,66,8,7,6,1
ballotbox_unsafe_storage_02_insert_state_variable,BallotBox,voting,transparent,dataset/originals/voting/BallotBox.sol,dataset/pairs/unsafe_storage/ballotbox_unsafe_storage_02_insert_state_variable/V2.sol,Unsafe,storage,insert_state_variable,,total,2;3;4;5,all following roots shift,0.8.30,66,8,7,6,1
ballotbox_unsafe_storage_03_change_storage_type,BallotBox,voting,transparent,dataset/originals/voting/BallotBox.sol,dataset/pairs/unsafe_storage/ballotbox_unsafe_storage_03_change_storage_type/V2.sol,Unsafe,storage,change_storage_type,,inheritedEpoch,0,semantic type changes at equal width,0.8.30,66,8,7,6,1
ballotbox_unsafe_behavior_01_remove_require,BallotBox,voting,transparent,dataset/originals/voting/BallotBox.sol,dataset/pairs/unsafe_behavior/ballotbox_unsafe_behavior_01_remove_require/V2.sol,Unsafe,behavior,remove_require,castWeight,,,inactive call becomes successful,0.8.30,66,8,7,6,1
ballotbox_unsafe_behavior_02_change_revert_condition,BallotBox,voting,transparent,dataset/originals/voting/BallotBox.sol,dataset/pairs/unsafe_behavior/ballotbox_unsafe_behavior_02_change_revert_condition/V2.sol,Unsafe,behavior,change_revert_condition,castWeight,,,accepted input set changes,0.8.30,66,8,7,6,1
ballotbox_unsafe_behavior_03_remove_access_modifier,BallotBox,voting,transparent,dataset/originals/voting/BallotBox.sol,dataset/pairs/unsafe_behavior/ballotbox_unsafe_behavior_03_remove_access_modifier/V2.sol,Unsafe,behavior,remove_access_modifier,withdraw,,,unauthorized caller becomes accepted,0.8.30,66,8,7,6,1
governancevote_safe_01_extract_internal_function,GovernanceVote,voting,uups,dataset/originals/voting/GovernanceVote.sol,dataset/pairs/safe/governancevote_safe_01_extract_internal_function/V2.sol,Safe,safe,extract_internal_function,addVotingPower,total,,semantics-preserving extraction,0.8.30,62,7,7,6,1
governancevote_safe_02_valid_domain_guard,GovernanceVote,voting,uups,dataset/originals/voting/GovernanceVote.sol,dataset/pairs/safe/governancevote_safe_02_valid_domain_guard/V2.sol,Safe,safe,valid_domain_guard,addVotingPower,,,preserved domain declares amount > 0,0.8.30,62,7,7,6,1
governancevote_safe_03_consume_storage_gap,GovernanceVote,voting,uups,dataset/originals/voting/GovernanceVote.sol,dataset/pairs/safe/governancevote_safe_03_consume_storage_gap/V2.sol,Safe,safe,consume_storage_gap,,releaseCounter,,one reserved gap slot consumed,0.8.30,62,7,7,6,1
governancevote_unsafe_storage_01_change_packed_width,GovernanceVote,voting,uups,dataset/originals/voting/GovernanceVote.sol,dataset/pairs/unsafe_storage/governancevote_unsafe_storage_01_change_packed_width/V2.sol,Unsafe,storage,change_packed_width,,"inheritedEpoch,guardian","0;1;2;3;4;[5,9)",inherited packed offset changes,0.8.30,62,7,7,6,1
governancevote_unsafe_storage_02_change_inheritance_order,GovernanceVote,voting,uups,dataset/originals/voting/GovernanceVote.sol,dataset/pairs/unsafe_storage/governancevote_unsafe_storage_02_change_inheritance_order/V2.sol,Unsafe,storage,change_inheritance_order,,"inheritedEpoch,guardian",0,base linearization changes,0.8.30,62,7,7,6,1
governancevote_unsafe_storage_03_move_mapping_root,GovernanceVote,voting,uups,dataset/originals/voting/GovernanceVote.sol,dataset/pairs/unsafe_storage/governancevote_unsafe_storage_03_move_mapping_root/V2.sol,Unsafe,storage,move_mapping_root,,mapping,3;4,mapping root slot moves,0.8.30,62,7,7,6,1
governancevote_unsafe_behavior_01_change_call_recipient,GovernanceVote,voting,uups,dataset/originals/voting/GovernanceVote.sol,dataset/pairs/unsafe_behavior/governancevote_unsafe_behavior_01_change_call_recipient/V2.sol,Unsafe,behavior,change_call_recipient,withdraw,,,external call target differs,0.8.30,62,7,7,6,1
governancevote_unsafe_behavior_02_external_call_order_change,GovernanceVote,voting,uups,dataset/originals/voting/GovernanceVote.sol,dataset/pairs/unsafe_behavior/governancevote_unsafe_behavior_02_external_call_order_change/V2.sol,Unsafe,behavior,external_call_order_change,withdraw,total,,external interaction precedes effects,0.8.30,62,7,7,6,1
governancevote_unsafe_behavior_03_success_to_revert,GovernanceVote,voting,uups,dataset/originals/voting/GovernanceVote.sol,dataset/pairs/unsafe_behavior/governancevote_unsafe_behavior_03_success_to_revert/V2.sol,Unsafe,behavior,success_to_revert,addVotingPower,,,all formerly valid calls revert,0.8.30,62,7,7,6,1
assetregistry_safe_01_rename_local_variable,AssetRegistry,registry,transparent,dataset/originals/registry/AssetRegistry.sol,dataset/pairs/safe/assetregistry_safe_01_rename_local_variable/V2.sol,Safe,safe,rename_local_variable,registerUnits,,,alpha-renaming,0.8.30,66,8,7,6,1
assetregistry_safe_02_equivalent_expression_refactor,AssetRegistry,registry,transparent,dataset/originals/registry/AssetRegistry.sol,dataset/pairs/safe/assetregistry_safe_02_equivalent_expression_refactor/V2.sol,Safe,safe,equivalent_expression_refactor,registerUnits,total,,algebraically identical checked addition,0.8.30,66,8,7,6,1
assetregistry_safe_03_extract_internal_function,AssetRegistry,registry,transparent,dataset/originals/registry/AssetRegistry.sol,dataset/pairs/safe/assetregistry_safe_03_extract_internal_function/V2.sol,Safe,safe,extract_internal_function,registerUnits,total,,semantics-preserving extraction,0.8.30,66,8,7,6,1
assetregistry_unsafe_storage_01_move_dynamic_array_root,AssetRegistry,registry,transparent,dataset/originals/registry/AssetRegistry.sol,dataset/pairs/unsafe_storage/assetregistry_unsafe_storage_01_move_dynamic_array_root/V2.sol,Unsafe,storage,move_dynamic_array_root,,history,3;4;5,dynamic-array root slot moves,0.8.30,66,8,7,6,1
assetregistry_unsafe_storage_02_inline_assembly_legacy_slot_write,AssetRegistry,registry,transparent,dataset/originals/registry/AssetRegistry.sol,dataset/pairs/unsafe_storage/assetregistry_unsafe_storage_02_inline_assembly_legacy_slot_write/V2.sol,Unsafe,storage,inline_assembly_legacy_slot_write,overwriteLegacySlot,owner,2,direct write to compiler-managed slot,0.8.30,66,8,7,6,1
assetregistry_unsafe_storage_03_namespace_collision,AssetRegistry,registry,transparent,dataset/originals/registry/AssetRegistry.sol,dataset/pairs/unsafe_storage/assetregistry_unsafe_storage_03_namespace_collision/V2.sol,Unsafe,storage,namespace_collision,writeNamespace,"inheritedEpoch,guardian",0,unstructured namespace collides with slot zero,0.8.30,66,8,7,6,1
assetregistry_unsafe_behavior_01_arithmetic_operator_change,AssetRegistry,registry,transparent,dataset/originals/registry/AssetRegistry.sol,dataset/pairs/unsafe_behavior/assetregistry_unsafe_behavior_01_arithmetic_operator_change/V2.sol,Unsafe,behavior,arithmetic_operator_change,registerUnits,total,,post-state and return differ,0.8.30,66,8,7,6,1
assetregistry_unsafe_behavior_02_comparison_operator_change,AssetRegistry,registry,transparent,dataset/originals/registry/AssetRegistry.sol,dataset/pairs/unsafe_behavior/assetregistry_unsafe_behavior_02_comparison_operator_change/V2.sol,Unsafe,behavior,comparison_operator_change,registerUnits,,,status differs at amount = limit,0.8.30,66,8,7,6,1
assetregistry_unsafe_behavior_03_omit_state_update,AssetRegistry,registry,transparent,dataset/originals/registry/AssetRegistry.sol,dataset/pairs/unsafe_behavior/assetregistry_unsafe_behavior_03_omit_state_update/V2.sol,Unsafe,behavior,omit_state_update,registerUnits,total,,total is not updated,0.8.30,66,8,7,6,1
claimregistry_safe_01_rename_local_variable,ClaimRegistry,registry,uups,dataset/originals/registry/ClaimRegistry.sol,dataset/pairs/safe/claimregistry_safe_01_rename_local_variable/V2.sol,Safe,safe,rename_local_variable,recordClaim,,,alpha-renaming,0.8.30,62,7,7,6,1
claimregistry_safe_02_equivalent_expression_refactor,ClaimRegistry,registry,uups,dataset/originals/registry/ClaimRegistry.sol,dataset/pairs/safe/claimregistry_safe_02_equivalent_expression_refactor/V2.sol,Safe,safe,equivalent_expression_refactor,recordClaim,total,,algebraically identical checked addition,0.8.30,62,7,7,6,1
claimregistry_safe_03_extract_internal_function,ClaimRegistry,registry,uups,dataset/originals/registry/ClaimRegistry.sol,dataset/pairs/safe/claimregistry_safe_03_extract_internal_function/V2.sol,Safe,safe,extract_internal_function,recordClaim,total,,semantics-preserving extraction,0.8.30,62,7,7,6,1
claimregistry_unsafe_storage_01_reorder_state_variables,ClaimRegistry,registry,uups,dataset/originals/registry/ClaimRegistry.sol,dataset/pairs/unsafe_storage/claimregistry_unsafe_storage_01_reorder_state_variables/V2.sol,Unsafe,storage,reorder_state_variables,,"owner,total",1;2,slot/type interpretation changes,0.8.30,62,7,7,6,1
claimregistry_unsafe_storage_02_insert_state_variable,ClaimRegistry,registry,uups,dataset/originals/registry/ClaimRegistry.sol,dataset/pairs/unsafe_storage/claimregistry_unsafe_storage_02_insert_state_variable/V2.sol,Unsafe,storage,insert_state_variable,,total,"2;3;4;[5,9)",all following roots shift,0.8.30,62,7,7,6,1
claimregistry_unsafe_storage_03_change_storage_type,ClaimRegistry,registry,uups,dataset/originals/registry/ClaimRegistry.sol,dataset/pairs/unsafe_storage/claimregistry_unsafe_storage_03_change_storage_type/V2.sol,Unsafe,storage,change_storage_type,,inheritedEpoch,0,semantic type changes at equal width,0.8.30,62,7,7,6,1
claimregistry_unsafe_behavior_01_wrong_state_variable,ClaimRegistry,registry,uups,dataset/originals/registry/ClaimRegistry.sol,dataset/pairs/unsafe_behavior/claimregistry_unsafe_behavior_01_wrong_state_variable/V2.sol,Unsafe,behavior,wrong_state_variable,recordClaim,"total,limit",,wrong state cell is updated,0.8.30,62,7,7,6,1
claimregistry_unsafe_behavior_02_return_value_change,ClaimRegistry,registry,uups,dataset/originals/registry/ClaimRegistry.sol,dataset/pairs/unsafe_behavior/claimregistry_unsafe_behavior_02_return_value_change/V2.sol,Unsafe,behavior,return_value_change,recordClaim,,,return data differs,0.8.30,62,7,7,6,1
claimregistry_unsafe_behavior_03_omit_event,ClaimRegistry,registry,uups,dataset/originals/registry/ClaimRegistry.sol,dataset/pairs/unsafe_behavior/claimregistry_unsafe_behavior_03_omit_event/V2.sol,Unsafe,behavior,omit_event,recordClaim,,,event trace differs,0.8.30,62,7,7,6,1
